-,-,-
97.656250, -71.533203, 1019.531250
112.304688, -34.912109, 1042.968750
77.636719, 3.906250, 1024.414062
89.843750, 1.464844, 1002.929688
75.683594, 34.179688, 991.210938
111.816406, 19.531250, 1007.324219
76.171875, 58.593750, 921.875000
109.375000, 38.085938, 951.171875
104.980469, 123.046875, 912.109375
54.199219, 83.007812, 812.500000
38.574219, 97.167969, 830.078125
68.847656, 146.972656, 862.304688
72.265625, 120.605469, 878.417969
57.128906, 145.507812, 857.421875
65.917969, 147.949219, 869.140625
68.847656, 151.367188, 890.625000
70.800781, 147.460938, 892.578125
94.726562, 148.437500, 902.343750
64.453125, 161.132812, 932.617188
52.734375, 184.570312, 945.312500
73.730469, 163.085938, 989.257812
